,model,description,part_num
82,Cable Cubby 1202,Black 2 US AC 12A Breaker 2 Outlets Under,60-1894-02
83,Cable Cubby 1402,Black 4 US AC 12A Breaker 4 Outlets Under,60-1895-02
84,SF 26CT LP,"65"" LowProfile 2-Way Ceiling Spkrs Complete Pair",60-1881-03
85,BCK SF 26CT LP,SF 26CT Low Profile back can only Pair 1 of 2,70-1283-01
86,DAK SF 26CT LP,SF 26CT LP driver/baffle assembly only Pair 2of2,70-1283-03
87,USBA Pro P/15,15' (45 m),26-728-15
88,USBA Pro P/25,25' (76 m),26-728-25
89,USBA Pro P/35,35' (106 m),26-728-35
90,USBA Pro P/50,50' (152 m),26-728-50
91,USBA Pro P/65,65' (198 m),26-728-65
92,USBC Pro/12,12' (36 m),26-741-12
93,USBC Pro/15,15' (45 m),26-741-15
94,USBC Pro/25,25' (76 m),26-741-25
95,XTP DTP 22/3,3' (90 cm),26-739-03
96,XTP DTP 22/6,6' (18 m),26-739-06
97,XTP DTP 22/9,9' (27 m),26-739-09
98,XTP DTP 22/12,12' (36 m),26-739-12
99,XTP DTP 22/25,25' (76 m),26-739-25
100,XTP DTP 22/35,35' (106 m),26-739-35
101,XTP DTP 22/50,50' (152 m),26-739-50
102,XTP DTP 22/75,75' (228 m),26-739-75
103,XTP DTP 22/100,100' (304 m),26-739-100
104,XTP DTP 22/125,125' (381 m),26-739-125
105,XTP DTP 22/150,150' (457 m),26-739-150
106,XTP DTP 22/175,175' (533 m),26-739-175
107,XTP DTP 22/200,200' (610 m),26-739-200
108,XTP DTP 22/300,300' (914 m),26-739-300
109,XTP DTP 22P/3,3' (90 cm),26-740-03
110,XTP DTP 22P/6,6' (18 m),26-740-06
111,XTP DTP 22P/9,9' (27 m),26-740-09
112,XTP DTP 22P/12,12' (36 m),26-740-12
113,XTP DTP 22P/25,25' (76 m),26-740-25
114,XTP DTP 22P/35,35' (106 m),26-740-35
115,XTP DTP 22P/50,50' (152 m),26-740-50
116,XTP DTP 22P/75,75' (228 m),26-740-75
117,XTP DTP 22P/100,100' (304 m),26-740-100
118,XTP DTP 22P/125,125' (381 m),26-740-125
119,XTP DTP 22P/150,150' (457 m),26-740-150
120,XTP DTP 22P/175,175' (533 m),26-740-175
121,XTP DTP 22P/200,200' (610 m),26-740-200
122,XTP DTP 22P/300,300' (914 m),26-740-300
123,XTP DTP 22,RJ-45 Connector XTP DTP 22 Plug Package of 10,101-033-01
124,XTP DTP 22/1000,Non-Plenum 1000' (305 m) spool,22-285-03
